### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]
    143.8000       -0.4984584E-001  -0.4632632E-001   0.3561580E-003  -0.1572715E-002   0.6001223E-003  -0.1946981E-002
    143.9000       -0.4981254E-001  -0.4648407E-001   0.3088985E-003  -0.1584257E-002   0.5509212E-003  -0.1954786E-002
    144.0000       -0.4978427E-001  -0.4664354E-001   0.2554306E-003  -0.1606949E-002   0.4951490E-003  -0.1973558E-002
    144.1000       -0.4976165E-001  -0.4680577E-001   0.1960170E-003  -0.1638865E-002   0.4330736E-003  -0.2001384E-002
    144.2000       -0.4974525E-001  -0.4697155E-001   0.1311822E-003  -0.1677723E-002   0.3652158E-003  -0.2035982E-002
    144.3000       -0.4973557E-001  -0.4714146E-001   0.6174868E-004  -0.1720985E-002   0.2923860E-003  -0.2074811E-002
    144.4000       -0.4973301E-001  -0.4731580E-001  -0.1113584E-004  -0.1765973E-002   0.2157133E-003  -0.2115181E-002
    144.5000       -0.4973786E-001  -0.4749462E-001  -0.8598372E-004  -0.1809979E-002   0.1366617E-003  -0.2154372E-002
    144.6000       -0.4975022E-001  -0.4767768E-001  -0.1609701E-003  -0.1850363E-002   0.5703107E-004  -0.2189728E-002
    144.7000       -0.4976999E-001  -0.4786449E-001  -0.2339556E-003  -0.1884640E-002  -0.2106240E-004  -0.2218746E-002
    144.8000       -0.4979686E-001  -0.4805433E-001  -0.3025320E-003  -0.1910530E-002  -0.9522736E-004  -0.2239132E-002
    144.9000       -0.4983026E-001  -0.4824625E-001  -0.3640902E-003  -0.1926001E-002  -0.1628617E-003  -0.2248839E-002
    145.0000       -0.4986935E-001  -0.4843912E-001  -0.4159088E-003  -0.1929278E-002  -0.2212372E-003  -0.2246081E-002
    145.1000       -0.4991303E-001  -0.4863165E-001  -0.4552576E-003  -0.1918850E-002  -0.2676005E-003  -0.2229336E-002
    145.2000       -0.4995990E-001  -0.4882239E-001  -0.4795082E-003  -0.1893455E-002  -0.2992815E-003  -0.2197330E-002
    145.3000       -0.5000834E-001  -0.4900980E-001  -0.4862432E-003  -0.1852066E-002  -0.3138018E-003  -0.2149026E-002
    145.4000       -0.5005650E-001  -0.4919224E-001  -0.4733560E-003  -0.1793877E-002  -0.3089754E-003  -0.2083605E-002
    145.5000       -0.5010230E-001  -0.4936800E-001  -0.4391354E-003  -0.1718291E-002  -0.2829947E-003  -0.2000454E-002
    145.6000       -0.5014357E-001  -0.4953531E-001  -0.3823334E-003  -0.1624917E-002  -0.2345012E-003  -0.1899160E-002
    145.7000       -0.5017799E-001  -0.4969238E-001  -0.3022160E-003  -0.1513575E-002  -0.1626393E-003  -0.1779521E-002
    145.8000       -0.5020323E-001  -0.4983743E-001  -0.1986018E-003  -0.1384325E-002  -0.6709992E-004  -0.1641566E-002
    145.9000       -0.5021694E-001  -0.4996866E-001  -0.7189305E-004  -0.1237502E-002   0.5184468E-004  -0.1485599E-002
    146.0000       -0.5021687E-001  -0.5008436E-001   0.7689771E-004  -0.1073775E-002   0.1933088E-003  -0.1312257E-002
    146.1000       -0.5020088E-001  -0.5018289E-001   0.2461251E-003  -0.8942139E-003   0.3557655E-003  -0.1122578E-002
    146.2000       -0.5016704E-001  -0.5026273E-001   0.4334963E-003  -0.7003526E-003   0.5370268E-003  -0.9180700E-003
    146.3000       -0.5011367E-001  -0.5032255E-001   0.6360732E-003  -0.4942418E-003   0.7342404E-003  -0.7007699E-003
    146.4000       -0.5003944E-001  -0.5036125E-001   0.8503043E-003  -0.2784668E-003   0.9439170E-003  -0.4732621E-003
    146.5000       -0.4994336E-001  -0.5037802E-001   0.1072097E-002  -0.5611541E-004   0.1161999E-002  -0.2386529E-003
    146.6000       -0.4982492E-001  -0.5037237E-001   0.1296942E-002   0.1693154E-003   0.1383981E-002  -0.4803582E-006
    146.7000       -0.4968403E-001  -0.5034418E-001   0.1520083E-002   0.3940769E-003   0.1605081E-002   0.2374419E-003
    146.8000       -0.4952112E-001  -0.5029371E-001   0.1736736E-002   0.6143788E-003   0.1820457E-002   0.4712350E-003
    146.9000       -0.4933705E-001  -0.5022158E-001   0.1942316E-002   0.8266293E-003   0.2025443E-002   0.6971974E-003
    147.0000       -0.4913316E-001  -0.5012876E-001   0.2132673E-002   0.1027674E-002   0.2215779E-002   0.9120477E-003
    147.1000       -0.4891114E-001  -0.5001650E-001   0.2304277E-002   0.1214995E-002   0.2387817E-002   0.1113133E-002
    147.2000       -0.4867302E-001  -0.4988627E-001   0.2454360E-002   0.1386853E-002   0.2538658E-002   0.1298574E-002
    147.3000       -0.4842105E-001  -0.4973967E-001   0.2580980E-002   0.1542343E-002   0.2666227E-002   0.1467329E-002
    147.4000       -0.4815765E-001  -0.4957835E-001   0.2683024E-002   0.1681369E-002   0.2769284E-002   0.1619178E-002
    147.5000       -0.4788528E-001  -0.4940393E-001   0.2760152E-002   0.1804552E-002   0.2847369E-002   0.1754631E-002
    147.6000       -0.4760644E-001  -0.4921793E-001   0.2812705E-002   0.1913085E-002   0.2900715E-002   0.1874791E-002
    147.7000       -0.4732353E-001  -0.4902175E-001   0.2841595E-002   0.2008567E-002   0.2930144E-002   0.1981184E-002
    147.8000       -0.4703886E-001  -0.4881659E-001   0.2848206E-002   0.2092827E-002   0.2936961E-002   0.2075586E-002
    147.9000       -0.4675457E-001  -0.4860349E-001   0.2834292E-002   0.2167764E-002   0.2922862E-002   0.2159868E-002
    148.0000       -0.4647262E-001  -0.4838329E-001   0.2801912E-002   0.2235219E-002   0.2889858E-002   0.2235850E-002
    148.1000       -0.4619473E-001  -0.4815664E-001   0.2753369E-002   0.2296867E-002   0.2840225E-002   0.2305210E-002
    148.2000       -0.4592240E-001  -0.4792406E-001   0.2691171E-002   0.2354151E-002   0.2776453E-002   0.2369398E-002
    148.3000       -0.4565686E-001  -0.4768592E-001   0.2617988E-002   0.2408239E-002   0.2701214E-002   0.2429604E-002
    148.4000       -0.4539907E-001  -0.4744249E-001   0.2536617E-002   0.2460013E-002   0.2617318E-002   0.2486737E-002
    148.5000       -0.4514972E-001  -0.4719397E-001   0.2449924E-002   0.2510080E-002   0.2527657E-002   0.2541435E-002
    148.6000       -0.4490917E-001  -0.4694052E-001   0.2360784E-002   0.2558794E-002   0.2435147E-002   0.2594090E-002
    148.7000       -0.4467755E-001  -0.4668225E-001   0.2271998E-002   0.2606300E-002   0.2342640E-002   0.2644883E-002
    148.8000       -0.4445467E-001  -0.4641930E-001   0.2186208E-002   0.2652577E-002   0.2252841E-002   0.2693835E-002
    148.9000       -0.4424012E-001  -0.4615178E-001   0.2105812E-002   0.2697491E-002   0.2168218E-002   0.2740851E-002
    149.0000       -0.4403326E-001  -0.4587985E-001   0.2032879E-002   0.2740839E-002   0.2090913E-002   0.2785768E-002
    149.1000       -0.4383324E-001  -0.4560368E-001   0.1969085E-002   0.2782392E-002   0.2022682E-002   0.2828397E-002
    149.2000       -0.4363910E-001  -0.4532344E-001   0.1915669E-002   0.2821933E-002   0.1964843E-002   0.2868559E-002
    149.3000       -0.4344974E-001  -0.4503936E-001   0.1873419E-002   0.2859277E-002   0.1918259E-002   0.2906105E-002
    149.4000       -0.4326403E-001  -0.4475166E-001   0.1842681E-002   0.2894293E-002   0.1883344E-002   0.2940939E-002
    149.5000       -0.4308082E-001  -0.4446058E-001   0.1823387E-002   0.2926906E-002   0.1860097E-002   0.2973020E-002
    149.6000       -0.4289898E-001  -0.4416636E-001   0.1815113E-002   0.2957103E-002   0.1848144E-002   0.3002362E-002
    149.7000       -0.4271745E-001  -0.4386924E-001   0.1817136E-002   0.2984924E-002   0.1846809E-002   0.3029035E-002
    149.8000       -0.4253524E-001  -0.4356946E-001   0.1828504E-002   0.3010454E-002   0.1855172E-002   0.3053149E-002
    149.9000       -0.4235148E-001  -0.4326722E-001   0.1848103E-002   0.3033817E-002   0.1872142E-002   0.3074849E-002
    150.0000       -0.4216539E-001  -0.4296276E-001   0.1874716E-002   0.3055161E-002   0.1896518E-002   0.3094303E-002
    150.1000       -0.4197634E-001  -0.4265625E-001   0.1907079E-002   0.3074654E-002   0.1927042E-002   0.3111696E-002
    150.2000       -0.4178382E-001  -0.4234788E-001   0.1943925E-002   0.3092471E-002   0.1962442E-002   0.3127217E-002
    150.3000       -0.4158745E-001  -0.4203781E-001   0.1984017E-002   0.3108790E-002   0.2001472E-002   0.3141059E-002
    150.4000       -0.4138695E-001  -0.4172617E-001   0.2026172E-002   0.3123789E-002   0.2042933E-002   0.3153408E-002
    150.5000       -0.4118218E-001  -0.4141309E-001   0.2069281E-002   0.3137638E-002   0.2085694E-002   0.3164446E-002
    150.6000       -0.4097310E-001  -0.4109868E-001   0.2112314E-002   0.3150500E-002   0.2128703E-002   0.3174344E-002
    150.7000       -0.4075975E-001  -0.4078302E-001   0.2154336E-002   0.3162530E-002   0.2170994E-002   0.3183263E-002
    150.8000       -0.4054229E-001  -0.4046619E-001   0.2194497E-002   0.3173866E-002   0.2211687E-002   0.3191353E-002
    150.9000       -0.4032094E-001  -0.4014826E-001   0.2232043E-002   0.3184639E-002   0.2249993E-002   0.3198749E-002
    151.0000       -0.4009599E-001  -0.3982928E-001   0.2266310E-002   0.3194962E-002   0.2285215E-002   0.3205574E-002
    151.1000       -0.3986781E-001  -0.3950928E-001   0.2296723E-002   0.3204933E-002   0.2316740E-002   0.3211935E-002
    151.2000       -0.3963679E-001  -0.3918830E-001   0.2322798E-002   0.3214630E-002   0.2344048E-002   0.3217922E-002
    151.3000       -0.3940341E-001  -0.3886636E-001   0.2344139E-002   0.3224113E-002   0.2366705E-002   0.3223603E-002
    151.4000       -0.3916814E-001  -0.3854349E-001   0.2360440E-002   0.3233415E-002   0.2384366E-002   0.3229027E-002
    151.5000       -0.3893149E-001  -0.3821969E-001   0.2371485E-002   0.3242544E-002   0.2396778E-002   0.3234216E-002
    151.6000       -0.3869402E-001  -0.3789498E-001   0.2377149E-002   0.3251478E-002   0.2403780E-002   0.3239162E-002
    151.7000       -0.3845625E-001  -0.3756940E-001   0.2377401E-002   0.3260160E-002   0.2405303E-002   0.3243827E-002
    151.8000       -0.3821872E-001  -0.3724296E-001   0.2372302E-002   0.3268496E-002   0.2401374E-002   0.3248134E-002
    151.9000       -0.3798196E-001  -0.3691572E-001   0.2362011E-002   0.3276353E-002   0.2392119E-002   0.3251970E-002
    152.0000       -0.3774648E-001  -0.3658771E-001   0.2346778E-002   0.3283554E-002   0.2377758E-002   0.3255177E-002
    152.1000       -0.3751276E-001  -0.3625903E-001   0.2326951E-002   0.3289876E-002   0.2358610E-002   0.3257554E-002
    152.2000       -0.3728123E-001  -0.3592978E-001   0.2302966E-002   0.3295050E-002   0.2335085E-002   0.3258852E-002
    152.3000       -0.3705228E-001  -0.3560007E-001   0.2275344E-002   0.3298764E-002   0.2307686E-002   0.3258777E-002
    152.4000       -0.3682626E-001  -0.3527009E-001   0.2244687E-002   0.3300656E-002   0.2276997E-002   0.3256988E-002
    152.5000       -0.3660342E-001  -0.3494002E-001   0.2211670E-002   0.3300326E-002   0.2243681E-002   0.3253101E-002
    152.6000       -0.3638398E-001  -0.3461011E-001   0.2177025E-002   0.3297335E-002   0.2208464E-002   0.3246692E-002
    152.7000       -0.3616805E-001  -0.3428065E-001   0.2141534E-002   0.3291211E-002   0.2172126E-002   0.3237302E-002
    152.8000       -0.3595567E-001  -0.3395199E-001   0.2106013E-002   0.3281460E-002   0.2135488E-002   0.3224446E-002
    152.9000       -0.3574682E-001  -0.3362450E-001   0.2071299E-002   0.3267571E-002   0.2099396E-002   0.3207619E-002
    153.0000       -0.3554136E-001  -0.3329863E-001   0.2038229E-002   0.3249028E-002   0.2064704E-002   0.3186310E-002
    153.1000       -0.3533909E-001  -0.3297487E-001   0.2007632E-002   0.3225326E-002   0.2032260E-002   0.3160008E-002
    153.2000       -0.3513972E-001  -0.3265375E-001   0.1980306E-002   0.3195976E-002   0.2002889E-002   0.3128223E-002
    153.3000       -0.3494290E-001  -0.3233587E-001   0.1957005E-002   0.3160526E-002   0.1977378E-002   0.3090493E-002
    153.4000       -0.3474817E-001  -0.3202186E-001   0.1938431E-002   0.3118573E-002   0.1956460E-002   0.3046400E-002
    153.5000       -0.3455503E-001  -0.3171239E-001   0.1925214E-002   0.3069777E-002   0.1940805E-002   0.2995589E-002
    153.6000       -0.3436293E-001  -0.3140814E-001   0.1917909E-002   0.3013877E-002   0.1931008E-002   0.2937778E-002
    153.7000       -0.3417124E-001  -0.3110985E-001   0.1916986E-002   0.2950703E-002   0.1927583E-002   0.2872776E-002
    153.8000       -0.3397930E-001  -0.3081825E-001   0.1922831E-002   0.2880193E-002   0.1930958E-002   0.2800497E-002
    153.9000       -0.3378643E-001  -0.3053406E-001   0.1935741E-002   0.2802405E-002   0.1941474E-002   0.2720971E-002
    154.0000       -0.3359191E-001  -0.3025800E-001   0.1955931E-002   0.2717525E-002   0.1959387E-002   0.2634360E-002
    154.1000       -0.3339500E-001  -0.2999078E-001   0.1983536E-002   0.2625883E-002   0.1984874E-002   0.2540966E-002
    154.2000       -0.3319495E-001  -0.2973304E-001   0.2018624E-002   0.2527953E-002   0.2018041E-002   0.2441240E-002
    154.3000       -0.3299103E-001  -0.2948538E-001   0.2061202E-002   0.2424366E-002   0.2058930E-002   0.2335788E-002
    154.4000       -0.3278247E-001  -0.2924833E-001   0.2111234E-002   0.2315901E-002   0.2107536E-002   0.2225370E-002
    154.5000       -0.3256853E-001  -0.2902233E-001   0.2168647E-002   0.2203491E-002   0.2163812E-002   0.2110902E-002
    154.6000       -0.3234849E-001  -0.2880772E-001   0.2233349E-002   0.2088207E-002   0.2227690E-002   0.1993441E-002
    154.7000       -0.3212162E-001  -0.2860474E-001   0.2305237E-002   0.1971244E-002   0.2299082E-002   0.1874177E-002
    154.8000       -0.3188721E-001  -0.2841349E-001   0.2384204E-002   0.1853897E-002   0.2377895E-002   0.1754402E-002
    154.9000       -0.3164455E-001  -0.2823393E-001   0.2470142E-002   0.1737532E-002   0.2464028E-002   0.1635485E-002
    155.0000       -0.3139295E-001  -0.2806590E-001   0.2562939E-002   0.1623542E-002   0.2557372E-002   0.1518830E-002
    155.1000       -0.3113174E-001  -0.2790910E-001   0.2662468E-002   0.1513301E-002   0.2657798E-002   0.1405826E-002
    155.2000       -0.3086024E-001  -0.2776307E-001   0.2768572E-002   0.1408110E-002   0.2765142E-002   0.1297794E-002
    155.3000       -0.3057781E-001  -0.2762727E-001   0.2881032E-002   0.1309135E-002   0.2879177E-002   0.1195926E-002
    155.4000       -0.3028383E-001  -0.2750101E-001   0.2999542E-002   0.1217353E-002   0.2999585E-002   0.1101222E-002
    155.5000       -0.2997772E-001  -0.2738353E-001   0.3123672E-002   0.1133491E-002   0.3125920E-002   0.1014441E-002
    155.6000       -0.2965893E-001  -0.2727403E-001   0.3252829E-002   0.1057987E-002   0.3257569E-002   0.9360470E-003
    155.7000       -0.2932701E-001  -0.2717165E-001   0.3386224E-002   0.9909607E-003   0.3393729E-002   0.8661849E-003
    155.8000       -0.2898158E-001  -0.2707556E-001   0.3522852E-002   0.9322070E-003   0.3533371E-002   0.8046704E-003
    155.9000       -0.2862237E-001  -0.2698495E-001   0.3661475E-002   0.8812163E-003   0.3675236E-002   0.7510087E-003
    156.0000       -0.2824926E-001  -0.2689909E-001   0.3800632E-002   0.8372194E-003   0.3817840E-002   0.7044388E-003
    156.1000       -0.2786228E-001  -0.2681731E-001   0.3938656E-002   0.7992564E-003   0.3959493E-002   0.6640015E-003
    156.2000       -0.2746163E-001  -0.2673907E-001   0.4073721E-002   0.7662610E-003   0.4098342E-002   0.6286249E-003
    156.3000       -0.2704770E-001  -0.2666393E-001   0.4203896E-002   0.7371530E-003   0.4232433E-002   0.5972175E-003
    156.4000       -0.2662108E-001  -0.2659154E-001   0.4327219E-002   0.7109261E-003   0.4359773E-002   0.5687581E-003
    156.5000       -0.2618255E-001  -0.2652167E-001   0.4441765E-002   0.6867221E-003   0.4478410E-002   0.5423725E-003
    156.6000       -0.2573308E-001  -0.2645415E-001   0.4545729E-002   0.6638822E-003   0.4586505E-002   0.5173870E-003
    156.7000       -0.2527381E-001  -0.2638887E-001   0.4637490E-002   0.6419710E-003   0.4682408E-002   0.4933555E-003
    156.8000       -0.2480604E-001  -0.2632574E-001   0.4715678E-002   0.6207732E-003   0.4764710E-002   0.4700575E-003
    156.9000       -0.2433116E-001  -0.2626469E-001   0.4779219E-002   0.6002653E-003   0.4832303E-002   0.4474720E-003
    157.0000       -0.2385070E-001  -0.2620565E-001   0.4827378E-002   0.5805689E-003   0.4884411E-002   0.4257312E-003
    157.1000       -0.2336621E-001  -0.2614854E-001   0.4859780E-002   0.5618943E-003   0.4920621E-002   0.4050637E-003
    157.2000       -0.2287927E-001  -0.2609323E-001   0.4876429E-002   0.5444804E-003   0.4940897E-002   0.3857340E-003
    157.3000       -0.2239144E-001  -0.2603960E-001   0.4877706E-002   0.5285408E-003   0.4945582E-002   0.3679868E-003
    157.4000       -0.2190422E-001  -0.2598747E-001   0.4864362E-002   0.5142203E-003   0.4935388E-002   0.3520012E-003
    157.5000       -0.2141902E-001  -0.2593670E-001   0.4837489E-002   0.5015669E-003   0.4911376E-002   0.3378606E-003
    157.6000       -0.2093713E-001  -0.2588710E-001   0.4798488E-002   0.4905207E-003   0.4874916E-002   0.3255389E-003
    157.7000       -0.2045967E-001  -0.2583854E-001   0.4749011E-002   0.4809206E-003   0.4827640E-002   0.3149049E-003
    157.8000       -0.1998761E-001  -0.2579088E-001   0.4690899E-002   0.4725257E-003   0.4771374E-002   0.3057420E-003
    157.9000       -0.1952172E-001  -0.2574401E-001   0.4626108E-002   0.4650498E-003   0.4708067E-002   0.2977810E-003
    158.0000       -0.1906255E-001  -0.2569785E-001   0.4556624E-002   0.4582022E-003   0.4639709E-002   0.2907401E-003
    158.1000       -0.1861048E-001  -0.2565236E-001   0.4484386E-002   0.4517314E-003   0.4568249E-002   0.2843687E-003
    158.2000       -0.1816570E-001  -0.2560750E-001   0.4411207E-002   0.4454654E-003   0.4495521E-002   0.2784881E-003
    158.3000       -0.1772822E-001  -0.2556326E-001   0.4338714E-002   0.4393449E-003   0.4423178E-002   0.2730255E-003
    158.4000       -0.1729789E-001  -0.2551962E-001   0.4268293E-002   0.4334442E-003   0.4352642E-002   0.2680367E-003
    158.5000       -0.1687445E-001  -0.2547655E-001   0.4201062E-002   0.4279794E-003   0.4285068E-002   0.2637160E-003
    158.6000       -0.1645754E-001  -0.2543400E-001   0.4137854E-002   0.4233020E-003   0.4221335E-002   0.2603914E-003
    158.7000       -0.1604673E-001  -0.2539185E-001   0.4079222E-002   0.4198792E-003   0.4162038E-002   0.2585070E-003
    158.8000       -0.1564154E-001  -0.2534996E-001   0.4025453E-002   0.4182615E-003   0.4107512E-002   0.2585920E-003
    158.9000       -0.1524147E-001  -0.2530812E-001   0.3976595E-002   0.4190420E-003   0.4057853E-002   0.2612212E-003
    159.0000       -0.1484606E-001  -0.2526605E-001   0.3932494E-002   0.4228079E-003   0.4012952E-002   0.2669682E-003
    159.1000       -0.1445483E-001  -0.2522344E-001   0.3892825E-002   0.4300903E-003   0.3972530E-002   0.2763551E-003
    159.2000       -0.1406736E-001  -0.2517990E-001   0.3857136E-002   0.4413134E-003   0.3936178E-002   0.2898023E-003
    159.3000       -0.1368329E-001  -0.2513504E-001   0.3824881E-002   0.4567478E-003   0.3903389E-002   0.3075820E-003
    159.4000       -0.1330229E-001  -0.2508841E-001   0.3795450E-002   0.4764710E-003   0.3873594E-002   0.3297787E-003
    159.5000       -0.1292412E-001  -0.2503960E-001   0.3768201E-002   0.5003394E-003   0.3846186E-002   0.3562595E-003
    159.6000       -0.1254860E-001  -0.2498822E-001   0.3742482E-002   0.5279721E-003   0.3820543E-002   0.3866590E-003
    159.7000       -0.1217560E-001  -0.2493391E-001   0.3717648E-002   0.5587520E-003   0.3796051E-002   0.4203780E-003
    159.8000       -0.1180506E-001  -0.2487639E-001   0.3693080E-002   0.5918422E-003   0.3772113E-002   0.4566002E-003
    159.9000       -0.1143699E-001  -0.2481549E-001   0.3668187E-002   0.6262196E-003   0.3748161E-002   0.4943243E-003
    160.0000       -0.1107145E-001  -0.2475114E-001   0.3642421E-002   0.6607216E-003   0.3723661E-002   0.5324106E-003
    160.1000       -0.1070855E-001  -0.2468339E-001   0.3615277E-002   0.6941051E-003   0.3698120E-002   0.5696385E-003
    160.2000       -0.1034846E-001  -0.2461240E-001   0.3586297E-002   0.7251095E-003   0.3671086E-002   0.6047699E-003
    160.3000       -0.9991369E-002  -0.2453848E-001   0.3555069E-002   0.7525210E-003   0.3642147E-002   0.6366126E-003
    160.4000       -0.9637531E-002  -0.2446205E-001   0.3521228E-002   0.7752314E-003   0.3610936E-002   0.6640790E-003
    160.5000       -0.9287222E-002  -0.2438363E-001   0.3484457E-002   0.7922854E-003   0.3577124E-002   0.6862334E-003
    160.6000       -0.8940747E-002  -0.2430381E-001   0.3444485E-002   0.8029154E-003   0.3540428E-002   0.7023263E-003
    160.7000       -0.8598439E-002  -0.2422328E-001   0.3401089E-002   0.8065583E-003   0.3500603E-002   0.7118116E-003
    160.8000       -0.8260649E-002  -0.2414274E-001   0.3354091E-002   0.8028582E-003   0.3457448E-002   0.7143491E-003
    160.9000       -0.7927745E-002  -0.2406296E-001   0.3303362E-002   0.7916532E-003   0.3410808E-002   0.7097908E-003
    161.0000       -0.7600104E-002  -0.2398466E-001   0.3248823E-002   0.7729517E-003   0.3360568E-002   0.6981576E-003
    161.1000       -0.7278109E-002  -0.2390861E-001   0.3190441E-002   0.7469005E-003   0.3306663E-002   0.6796065E-003
    161.2000       -0.6962143E-002  -0.2383552E-001   0.3128237E-002   0.7137487E-003   0.3249074E-002   0.6543943E-003
    161.3000       -0.6652586E-002  -0.2376609E-001   0.3062281E-002   0.6738114E-003   0.3187831E-002   0.6228414E-003
    161.4000       -0.6349808E-002  -0.2370097E-001   0.2992694E-002   0.6274361E-003   0.3123011E-002   0.5852969E-003
    161.5000       -0.6054163E-002  -0.2364080E-001   0.2919650E-002   0.5749730E-003   0.3054743E-002   0.5421091E-003
    161.6000       -0.5765986E-002  -0.2358617E-001   0.2843374E-002   0.5167522E-003   0.2983207E-002   0.4936019E-003
    161.7000       -0.5485587E-002  -0.2353763E-001   0.2764139E-002   0.4530674E-003   0.2908630E-002   0.4400584E-003
    161.8000       -0.5213246E-002  -0.2349573E-001   0.2682268E-002   0.3841661E-003   0.2831289E-002   0.3817108E-003
    161.9000       -0.4949209E-002  -0.2346097E-001   0.2598130E-002   0.3102475E-003   0.2751504E-002   0.3187376E-003
    162.0000       -0.4693682E-002  -0.2343384E-001   0.2512135E-002   0.2314651E-003   0.2669640E-002   0.2512667E-003
    162.1000       -0.4446829E-002  -0.2341483E-001   0.2424731E-002   0.1479358E-003   0.2586101E-002   0.1793842E-003
    162.2000       -0.4208767E-002  -0.2340441E-001   0.2336398E-002   0.5975292E-004   0.2501324E-002   0.1031475E-003
    162.3000       -0.3979563E-002  -0.2340304E-001   0.2247641E-002  -0.3299796E-004   0.2415773E-002   0.2260142E-004
    162.4000       -0.3759235E-002  -0.2341116E-001   0.2158986E-002  -0.1302196E-003   0.2329934E-002  -0.6220178E-004
    162.5000       -0.3547745E-002  -0.2342922E-001   0.2070965E-002  -0.2317830E-003   0.2244306E-002  -0.1511822E-003
    162.6000       -0.3345003E-002  -0.2345765E-001   0.1984115E-002  -0.3375072E-003   0.2159393E-002  -0.2442109E-003
    162.7000       -0.3150865E-002  -0.2349686E-001   0.1898965E-002  -0.4471396E-003   0.2075694E-002  -0.3410900E-003
    162.8000       -0.2965136E-002  -0.2354720E-001   0.1816027E-002  -0.5603389E-003   0.1993698E-002  -0.4415342E-003
    162.9000       -0.2787570E-002  -0.2360903E-001   0.1735788E-002  -0.6766615E-003   0.1913872E-002  -0.5451566E-003
    163.0000       -0.2617873E-002  -0.2368262E-001   0.1658705E-002  -0.7955531E-003   0.1836653E-002  -0.6514589E-003
    163.1000       -0.2455710E-002  -0.2376820E-001   0.1585198E-002  -0.9163457E-003   0.1762448E-002  -0.7598273E-003
    163.2000       -0.2300702E-002  -0.2386593E-001   0.1515644E-002  -0.1038262E-002   0.1691622E-002  -0.8695364E-003
    163.3000       -0.2152438E-002  -0.2397586E-001   0.1450376E-002  -0.1160426E-002   0.1624503E-002  -0.9797586E-003
    163.4000       -0.2010474E-002  -0.2409799E-001   0.1389687E-002  -0.1281884E-002   0.1561375E-002  -0.1089582E-002
    163.5000       -0.1874339E-002  -0.2423218E-001   0.1333827E-002  -0.1401624E-002   0.1502484E-002  -0.1198036E-002
    163.6000       -0.1743541E-002  -0.2437822E-001   0.1283008E-002  -0.1518612E-002   0.1448042E-002  -0.1304115E-002
    163.7000       -0.1617564E-002  -0.2453578E-001   0.1237413E-002  -0.1631817E-002   0.1398229E-002  -0.1406820E-002
    163.8000       -0.1495878E-002  -0.2470443E-001   0.1197200E-002  -0.1740251E-002   0.1353200E-002  -0.1505182E-002
    163.9000       -0.1377940E-002  -0.2488364E-001   0.1162506E-002  -0.1842997E-002   0.1313091E-002  -0.1598299E-002
    164.0000       -0.1263189E-002  -0.2507281E-001   0.1133457E-002  -0.1939236E-002   0.1278028E-002  -0.1685365E-002
    164.1000       -0.1151056E-002  -0.2527125E-001   0.1110168E-002  -0.2028269E-002   0.1248122E-002  -0.1765688E-002
    164.2000       -0.1040960E-002  -0.2547820E-001   0.1092747E-002  -0.2109531E-002   0.1223482E-002  -0.1838708E-002
    164.3000       -0.9323078E-003  -0.2569288E-001   0.1081298E-002  -0.2182599E-002   0.1204209E-002  -0.1904002E-002
    164.4000       -0.8244980E-003  -0.2591444E-001   0.1075916E-002  -0.2247187E-002   0.1190397E-002  -0.1961283E-002
    164.5000       -0.7169195E-003  -0.2614203E-001   0.1076685E-002  -0.2303137E-002   0.1182129E-002  -0.2010396E-002
    164.6000       -0.6089537E-003  -0.2637478E-001   0.1083673E-002  -0.2350409E-002   0.1179475E-002  -0.2051295E-002
    164.7000       -0.4999761E-003  -0.2661182E-001   0.1096925E-002  -0.2389055E-002   0.1182482E-002  -0.2084034E-002
    164.8000       -0.3893593E-003  -0.2685231E-001   0.1116456E-002  -0.2419202E-002   0.1191169E-002  -0.2108738E-002
    164.9000       -0.2764763E-003  -0.2709539E-001   0.1142241E-002  -0.2441025E-002   0.1205516E-002  -0.2125583E-002
    165.0000       -0.1607051E-003  -0.2734024E-001   0.1174205E-002  -0.2454729E-002   0.1225460E-002  -0.2134772E-002
    165.1000       -0.4143356E-004  -0.2758607E-001   0.1212219E-002  -0.2460522E-002   0.1250881E-002  -0.2136513E-002
    165.2000        0.8193367E-004  -0.2783209E-001   0.1256080E-002  -0.2458601E-002   0.1281596E-002  -0.2131005E-002
    165.3000        0.2099682E-003  -0.2807754E-001   0.1305512E-002  -0.2449135E-002   0.1317343E-002  -0.2118413E-002
    165.4000        0.3432096E-003  -0.2832167E-001   0.1360147E-002  -0.2432252E-002   0.1357781E-002  -0.2098864E-002
    165.5000        0.4821558E-003  -0.2856374E-001   0.1419523E-002  -0.2408035E-002   0.1402470E-002  -0.2072436E-002
    165.6000        0.6272532E-003  -0.2880303E-001   0.1483066E-002  -0.2376513E-002   0.1450869E-002  -0.2039151E-002
    165.7000        0.7788853E-003  -0.2903880E-001   0.1550092E-002  -0.2337667E-002   0.1502322E-002  -0.1998981E-002
    165.8000        0.9373608E-003  -0.2927032E-001   0.1619791E-002  -0.2291432E-002   0.1556057E-002  -0.1951844E-002
