### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]
    4.100000        0.1851994E-002  -0.2516649E-002   0.3014710E-005  -0.3345957E-004  -0.1357061E-005  -0.1457620E-004
    4.200000        0.1852293E-002  -0.2520013E-002   0.2968911E-005  -0.3381335E-004  -0.1398404E-005  -0.1484905E-004
    4.300000        0.1852588E-002  -0.2523412E-002   0.2921797E-005  -0.3417338E-004  -0.1441003E-005  -0.1512741E-004
    4.400000        0.1852877E-002  -0.2526848E-002   0.2873329E-005  -0.3453980E-004  -0.1484897E-005  -0.1541142E-004
    4.500000        0.1853162E-002  -0.2530320E-002   0.2823465E-005  -0.3491276E-004  -0.1530126E-005  -0.1570121E-004
    4.600000        0.1853442E-002  -0.2533830E-002   0.2772165E-005  -0.3529241E-004  -0.1576733E-005  -0.1599693E-004
    4.700000        0.1853717E-002  -0.2537379E-002   0.2719383E-005  -0.3567890E-004  -0.1624761E-005  -0.1629872E-004
    4.800000        0.1853986E-002  -0.2540966E-002   0.2665075E-005  -0.3607240E-004  -0.1674256E-005  -0.1660675E-004
    4.900000        0.1854250E-002  -0.2544594E-002   0.2609194E-005  -0.3647305E-004  -0.1725264E-005  -0.1692116E-004
    5.000000        0.1854508E-002  -0.2548261E-002   0.2551692E-005  -0.3688105E-004  -0.1777833E-005  -0.1724212E-004
    5.100000        0.1854760E-002  -0.2551970E-002   0.2492518E-005  -0.3729655E-004  -0.1832014E-005  -0.1756980E-004
    5.200000        0.1855006E-002  -0.2555721E-002   0.2431621E-005  -0.3771975E-004  -0.1887858E-005  -0.1790438E-004
    5.300000        0.1855246E-002  -0.2559514E-002   0.2368948E-005  -0.3815083E-004  -0.1945419E-005  -0.1824605E-004
    5.400000        0.1855480E-002  -0.2563351E-002   0.2304442E-005  -0.3858999E-004  -0.2004753E-005  -0.1859498E-004
