### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
### Sampling for ensemble average ##################
#   ista = 2000                                    #
#   nperiod = 500                                  #
#   nshift = 1                                     #
#   nsample= (nrec-ista-nperiod)/nshift+1 = 7502   #
####################################################
#       [1]t       [2]Re[<u(t)u*>]  [3]Im[<u(t)u*>]  [4]Re[<f(t)u*>]  [5]Im[<f(t)u*>] [6]Re[<u(t)du*/dt>] [7]Im[<u(t)du*/dt>] [8]Re[<f(t)du*/dt>] [9]Im[<f(t)du*/dt>] 
    0.000000        0.2532384E-002   0.1880379E-020  -0.9227825E-006   0.6523812E-005   0.5464614E-006  -0.8738162E-005   0.1360532E-004  -0.1673751E-006
   0.1000000        0.2532371E-002   0.8737983E-006  -0.2268776E-005   0.6541500E-005   0.1911653E-005  -0.8737594E-005   0.1360195E-004  -0.1559764E-006
   0.2000000        0.2532224E-002   0.1747434E-005  -0.3613858E-005   0.6557350E-005   0.3275407E-005  -0.8735890E-005   0.1358453E-004  -0.1445326E-006
   0.3000000        0.2531941E-002   0.2620717E-005  -0.4956661E-005   0.6571367E-005   0.4636317E-005  -0.8733043E-005   0.1355322E-004  -0.1329988E-006
   0.4000000        0.2531524E-002   0.3493460E-005  -0.6295833E-005   0.6583562E-005   0.5992999E-005  -0.8729042E-005   0.1350827E-004  -0.1213327E-006
   0.5000000        0.2530972E-002   0.4365477E-005  -0.7630045E-005   0.6593949E-005   0.7344108E-005  -0.8723873E-005   0.1345003E-004  -0.1094962E-006
   0.6000000        0.2530288E-002   0.5236585E-005  -0.8958009E-005   0.6602549E-005   0.8688344E-005  -0.8717518E-005   0.1337900E-004  -0.9745577E-007
   0.7000000        0.2529471E-002   0.6106601E-005  -0.1027848E-004   0.6609383E-005   0.1002446E-004  -0.8709956E-005   0.1329575E-004  -0.8518412E-007
   0.8000000        0.2528522E-002   0.6975348E-005  -0.1159028E-004   0.6614476E-005   0.1135129E-004  -0.8701163E-005   0.1320093E-004  -0.7266058E-007
   0.9000000        0.2527442E-002   0.7842652E-005  -0.1289229E-004   0.6617855E-005   0.1266773E-004  -0.8691115E-005   0.1309528E-004  -0.5987210E-007
    1.000000        0.2526232E-002   0.8708340E-005  -0.1418347E-004   0.6619548E-005   0.1397274E-004  -0.8679787E-005   0.1297960E-004  -0.4681383E-007
    1.100000        0.2524894E-002   0.9572245E-005  -0.1546284E-004   0.6619585E-005   0.1526540E-004  -0.8667154E-005   0.1285470E-004  -0.3348964E-007
    1.200000        0.2523429E-002   0.1043420E-004  -0.1672952E-004   0.6617998E-005   0.1654486E-004  -0.8653190E-005   0.1272146E-004  -0.1991241E-007
    1.300000        0.2521837E-002   0.1129405E-004  -0.1798272E-004   0.6614821E-005   0.1781034E-004  -0.8637874E-005   0.1258074E-004  -0.6104218E-008
    1.400000        0.2520121E-002   0.1215163E-004  -0.1922172E-004   0.6610088E-005   0.1906118E-004  -0.8621187E-005   0.1243342E-004   0.7903689E-008
    1.500000        0.2518282E-002   0.1300679E-004  -0.2044590E-004   0.6603837E-005   0.2029679E-004  -0.8603112E-005   0.1228038E-004   0.2207112E-007
    1.600000        0.2516321E-002   0.1385938E-004  -0.2165471E-004   0.6596112E-005   0.2151667E-004  -0.8583640E-005   0.1212245E-004   0.3634934E-007
    1.700000        0.2514241E-002   0.1470925E-004  -0.2284771E-004   0.6586955E-005   0.2272042E-004  -0.8562764E-005   0.1196045E-004   0.5068161E-007
    1.800000        0.2512042E-002   0.1555628E-004  -0.2402450E-004   0.6576417E-005   0.2390769E-004  -0.8540486E-005   0.1179517E-004   0.6500393E-007
    1.900000        0.2509726E-002   0.1640031E-004  -0.2518479E-004   0.6564551E-005   0.2507822E-004  -0.8516811E-005   0.1162733E-004   0.7924591E-007
    2.000000        0.2507295E-002   0.1724124E-004  -0.2632834E-004   0.6551416E-005   0.2623184E-004  -0.8491757E-005   0.1145762E-004   0.9333173E-007
    2.100000        0.2504751E-002   0.1807892E-004  -0.2745499E-004   0.6537076E-005   0.2736840E-004  -0.8465343E-005   0.1128667E-004   0.1071813E-006
    2.200000        0.2502095E-002   0.1891326E-004  -0.2856463E-004   0.6521601E-005   0.2848786E-004  -0.8437602E-005   0.1111506E-004   0.1207112E-006
    2.300000        0.2499330E-002   0.1974414E-004  -0.2965720E-004   0.6505064E-005   0.2959020E-004  -0.8408573E-005   0.1094332E-004   0.1338362E-006
    2.400000        0.2496456E-002   0.2057146E-004  -0.3073271E-004   0.6487545E-005   0.3067546E-004  -0.8378301E-005   0.1077190E-004   0.1464703E-006
    2.500000        0.2493475E-002   0.2139513E-004  -0.3179118E-004   0.6469128E-005   0.3174372E-004  -0.8346843E-005   0.1060123E-004   0.1585281E-006
    2.600000        0.2490390E-002   0.2221507E-004  -0.3283268E-004   0.6449900E-005   0.3279510E-004  -0.8314261E-005   0.1043165E-004   0.1699256E-006
    2.700000        0.2487202E-002   0.2303121E-004  -0.3385732E-004   0.6429952E-005   0.3382974E-004  -0.8280628E-005   0.1026347E-004   0.1805823E-006
    2.800000        0.2483912E-002   0.2384347E-004  -0.3486523E-004   0.6409375E-005   0.3484783E-004  -0.8246022E-005   0.1009695E-004   0.1904214E-006
    2.900000        0.2480522E-002   0.2465181E-004  -0.3585654E-004   0.6388264E-005   0.3584955E-004  -0.8210528E-005   0.9932292E-005   0.1993715E-006
    3.000000        0.2477035E-002   0.2545619E-004  -0.3683143E-004   0.6366713E-005   0.3683513E-004  -0.8174237E-005   0.9769660E-005   0.2073676E-006
