### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
### Sampling for ensemble average ##################
#   ista = 2000                                    #
#   nperiod = 500                                  #
#   nshift = 1                                     #
#   nsample= (nrec-ista-nperiod)/nshift+1 = 7502   #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]   [8]Re[Omega*u]   [9]Im[Omega*u]   [10]Re[s]        [11]Im[s]        [12]Re[r]        [13]Im[r]        
    0.000000        0.1836954E-002  -0.2403184E-002   0.4116301E-005  -0.2304193E-004  -0.3910074E-006  -0.6911910E-005   0.5521600E-005   0.5607980E-005    0.000000         0.000000         0.000000         0.000000     
   0.1000000        0.1837365E-002  -0.2405498E-002   0.4101701E-005  -0.2322307E-004  -0.4032890E-006  -0.7037384E-005   0.5527410E-005   0.5609882E-005    0.000000         0.000000         0.000000         0.000000     
   0.2000000        0.1837775E-002  -0.2407829E-002   0.4086689E-005  -0.2340704E-004  -0.4159390E-006  -0.7165186E-005   0.5533267E-005   0.5611786E-005    0.000000         0.000000         0.000000         0.000000     
   0.3000000        0.1838183E-002  -0.2410179E-002   0.4071253E-005  -0.2359389E-004  -0.4289682E-006  -0.7295360E-005   0.5539172E-005   0.5613693E-005    0.000000         0.000000         0.000000         0.000000     
   0.4000000        0.1838589E-002  -0.2412548E-002   0.4055382E-005  -0.2378367E-004  -0.4423881E-006  -0.7427952E-005   0.5545127E-005   0.5615603E-005    0.000000         0.000000         0.000000         0.000000     
   0.5000000        0.1838994E-002  -0.2414936E-002   0.4039064E-005  -0.2397643E-004  -0.4562101E-006  -0.7563010E-005   0.5551131E-005   0.5617516E-005    0.000000         0.000000         0.000000         0.000000     
   0.6000000        0.1839397E-002  -0.2417343E-002   0.4022287E-005  -0.2417223E-004  -0.4704464E-006  -0.7700582E-005   0.5557186E-005   0.5619432E-005    0.000000         0.000000         0.000000         0.000000     
   0.7000000        0.1839798E-002  -0.2419771E-002   0.4005036E-005  -0.2437111E-004  -0.4851093E-006  -0.7840717E-005   0.5563292E-005   0.5621350E-005    0.000000         0.000000         0.000000         0.000000     
   0.8000000        0.1840198E-002  -0.2422218E-002   0.3987300E-005  -0.2457315E-004  -0.5002115E-006  -0.7983466E-005   0.5569451E-005   0.5623271E-005    0.000000         0.000000         0.000000         0.000000     
   0.9000000        0.1840596E-002  -0.2424685E-002   0.3969065E-005  -0.2477839E-004  -0.5157662E-006  -0.8128879E-005   0.5575663E-005   0.5625195E-005    0.000000         0.000000         0.000000         0.000000     
    1.000000        0.1840992E-002  -0.2427174E-002   0.3950316E-005  -0.2498689E-004  -0.5317868E-006  -0.8277010E-005   0.5581929E-005   0.5627122E-005    0.000000         0.000000         0.000000         0.000000     
    1.100000        0.1841386E-002  -0.2429683E-002   0.3931040E-005  -0.2519871E-004  -0.5482874E-006  -0.8427912E-005   0.5588249E-005   0.5629052E-005    0.000000         0.000000         0.000000         0.000000     
    1.200000        0.1841778E-002  -0.2432213E-002   0.3911221E-005  -0.2541391E-004  -0.5652822E-006  -0.8581642E-005   0.5594626E-005   0.5630984E-005    0.000000         0.000000         0.000000         0.000000     
    1.300000        0.1842168E-002  -0.2434766E-002   0.3890845E-005  -0.2563256E-004  -0.5827861E-006  -0.8738254E-005   0.5601059E-005   0.5632919E-005    0.000000         0.000000         0.000000         0.000000     
    1.400000        0.1842556E-002  -0.2437340E-002   0.3869895E-005  -0.2585472E-004  -0.6008144E-006  -0.8897808E-005   0.5607549E-005   0.5634857E-005    0.000000         0.000000         0.000000         0.000000     
    1.500000        0.1842942E-002  -0.2439937E-002   0.3848356E-005  -0.2608045E-004  -0.6193828E-006  -0.9060363E-005   0.5614098E-005   0.5636797E-005    0.000000         0.000000         0.000000         0.000000     
    1.600000        0.1843326E-002  -0.2442556E-002   0.3826210E-005  -0.2630982E-004  -0.6385074E-006  -0.9225979E-005   0.5620706E-005   0.5638740E-005    0.000000         0.000000         0.000000         0.000000     
    1.700000        0.1843707E-002  -0.2445199E-002   0.3803441E-005  -0.2654290E-004  -0.6582051E-006  -0.9394718E-005   0.5627375E-005   0.5640686E-005    0.000000         0.000000         0.000000         0.000000     
    1.800000        0.1844086E-002  -0.2447865E-002   0.3780031E-005  -0.2677976E-004  -0.6784930E-006  -0.9566645E-005   0.5634105E-005   0.5642634E-005    0.000000         0.000000         0.000000         0.000000     
    1.900000        0.1844463E-002  -0.2450555E-002   0.3755961E-005  -0.2702047E-004  -0.6993890E-006  -0.9741825E-005   0.5640898E-005   0.5644585E-005    0.000000         0.000000         0.000000         0.000000     
    2.000000        0.1844837E-002  -0.2453269E-002   0.3731214E-005  -0.2726510E-004  -0.7209113E-006  -0.9920326E-005   0.5647754E-005   0.5646539E-005    0.000000         0.000000         0.000000         0.000000     
    2.100000        0.1845209E-002  -0.2456008E-002   0.3705769E-005  -0.2751372E-004  -0.7430789E-006  -0.1010221E-004   0.5654674E-005   0.5648495E-005    0.000000         0.000000         0.000000         0.000000     
    2.200000        0.1845579E-002  -0.2458772E-002   0.3679607E-005  -0.2776642E-004  -0.7659112E-006  -0.1028756E-004   0.5661660E-005   0.5650453E-005    0.000000         0.000000         0.000000         0.000000     
    2.300000        0.1845945E-002  -0.2461562E-002   0.3652707E-005  -0.2802327E-004  -0.7894284E-006  -0.1047644E-004   0.5668712E-005   0.5652414E-005    0.000000         0.000000         0.000000         0.000000     
    2.400000        0.1846309E-002  -0.2464377E-002   0.3625048E-005  -0.2828436E-004  -0.8136512E-006  -0.1066893E-004   0.5675832E-005   0.5654377E-005    0.000000         0.000000         0.000000         0.000000     
    2.500000        0.1846670E-002  -0.2467219E-002   0.3596608E-005  -0.2854976E-004  -0.8386010E-006  -0.1086510E-004   0.5683021E-005   0.5656343E-005    0.000000         0.000000         0.000000         0.000000     
    2.600000        0.1847028E-002  -0.2470087E-002   0.3567365E-005  -0.2881956E-004  -0.8642999E-006  -0.1106503E-004   0.5690280E-005   0.5658311E-005    0.000000         0.000000         0.000000         0.000000     
    2.700000        0.1847384E-002  -0.2472983E-002   0.3537296E-005  -0.2909385E-004  -0.8907706E-006  -0.1126881E-004   0.5697611E-005   0.5660282E-005    0.000000         0.000000         0.000000         0.000000     
    2.800000        0.1847736E-002  -0.2475906E-002   0.3506377E-005  -0.2937271E-004  -0.9180366E-006  -0.1147651E-004   0.5705013E-005   0.5662254E-005    0.000000         0.000000         0.000000         0.000000     
    2.900000        0.1848085E-002  -0.2478857E-002   0.3474583E-005  -0.2965624E-004  -0.9461223E-006  -0.1168821E-004   0.5712489E-005   0.5664229E-005    0.000000         0.000000         0.000000         0.000000     
    3.000000        0.1848431E-002  -0.2481837E-002   0.3441888E-005  -0.2994453E-004  -0.9750526E-006  -0.1190402E-004   0.5720040E-005   0.5666206E-005    0.000000         0.000000         0.000000         0.000000     
    3.100000        0.1848773E-002  -0.2484846E-002   0.3408267E-005  -0.3023768E-004  -0.1004853E-005  -0.1212402E-004   0.5727667E-005   0.5668184E-005    0.000000         0.000000         0.000000         0.000000     
    3.200000        0.1849112E-002  -0.2487885E-002   0.3373693E-005  -0.3053579E-004  -0.1035551E-005  -0.1234829E-004   0.5735372E-005   0.5670165E-005    0.000000         0.000000         0.000000         0.000000     
    3.300000        0.1849448E-002  -0.2490954E-002   0.3338137E-005  -0.3083895E-004  -0.1067174E-005  -0.1257695E-004   0.5743155E-005   0.5672148E-005    0.000000         0.000000         0.000000         0.000000     
    3.400000        0.1849780E-002  -0.2494053E-002   0.3301571E-005  -0.3114728E-004  -0.1099750E-005  -0.1281008E-004   0.5751018E-005   0.5674133E-005    0.000000         0.000000         0.000000         0.000000     
    3.500000        0.1850108E-002  -0.2497183E-002   0.3263965E-005  -0.3146088E-004  -0.1133308E-005  -0.1304778E-004   0.5758963E-005   0.5676119E-005    0.000000         0.000000         0.000000         0.000000     
    3.600000        0.1850433E-002  -0.2500345E-002   0.3225289E-005  -0.3177986E-004  -0.1167879E-005  -0.1329017E-004   0.5766990E-005   0.5678107E-005    0.000000         0.000000         0.000000         0.000000     
    3.700000        0.1850753E-002  -0.2503539E-002   0.3185511E-005  -0.3210433E-004  -0.1203494E-005  -0.1353734E-004   0.5775102E-005   0.5680097E-005    0.000000         0.000000         0.000000         0.000000     
    3.800000        0.1851070E-002  -0.2506766E-002   0.3144599E-005  -0.3243442E-004  -0.1240186E-005  -0.1378941E-004   0.5783300E-005   0.5682088E-005    0.000000         0.000000         0.000000         0.000000     
    3.900000        0.1851382E-002  -0.2510027E-002   0.3102518E-005  -0.3277024E-004  -0.1277988E-005  -0.1404650E-004   0.5791584E-005   0.5684081E-005    0.000000         0.000000         0.000000         0.000000     
    4.000000        0.1851690E-002  -0.2513321E-002   0.3059233E-005  -0.3311191E-004  -0.1316934E-005  -0.1430872E-004   0.5799958E-005   0.5686075E-005    0.000000         0.000000         0.000000         0.000000     
    4.100000        0.1851994E-002  -0.2516649E-002   0.3014710E-005  -0.3345957E-004  -0.1357061E-005  -0.1457620E-004   0.5808422E-005   0.5688070E-005    0.000000         0.000000         0.000000         0.000000     
    4.200000        0.1852293E-002  -0.2520013E-002   0.2968911E-005  -0.3381335E-004  -0.1398404E-005  -0.1484905E-004   0.5816978E-005   0.5690067E-005    0.000000         0.000000         0.000000         0.000000     
    4.300000        0.1852588E-002  -0.2523412E-002   0.2921797E-005  -0.3417338E-004  -0.1441003E-005  -0.1512741E-004   0.5825628E-005   0.5692064E-005    0.000000         0.000000         0.000000         0.000000     
    4.400000        0.1852877E-002  -0.2526848E-002   0.2873329E-005  -0.3453980E-004  -0.1484897E-005  -0.1541142E-004   0.5834373E-005   0.5694062E-005    0.000000         0.000000         0.000000         0.000000     
    4.500000        0.1853162E-002  -0.2530320E-002   0.2823465E-005  -0.3491276E-004  -0.1530126E-005  -0.1570121E-004   0.5843215E-005   0.5696062E-005    0.000000         0.000000         0.000000         0.000000     
    4.600000        0.1853442E-002  -0.2533830E-002   0.2772165E-005  -0.3529241E-004  -0.1576733E-005  -0.1599693E-004   0.5852156E-005   0.5698061E-005    0.000000         0.000000         0.000000         0.000000     
    4.700000        0.1853717E-002  -0.2537379E-002   0.2719383E-005  -0.3567890E-004  -0.1624761E-005  -0.1629872E-004   0.5861198E-005   0.5700062E-005    0.000000         0.000000         0.000000         0.000000     
    4.800000        0.1853986E-002  -0.2540966E-002   0.2665075E-005  -0.3607240E-004  -0.1674256E-005  -0.1660675E-004   0.5870342E-005   0.5702063E-005    0.000000         0.000000         0.000000         0.000000     
    4.900000        0.1854250E-002  -0.2544594E-002   0.2609194E-005  -0.3647305E-004  -0.1725264E-005  -0.1692116E-004   0.5879590E-005   0.5704064E-005    0.000000         0.000000         0.000000         0.000000     
    5.000000        0.1854508E-002  -0.2548261E-002   0.2551692E-005  -0.3688105E-004  -0.1777833E-005  -0.1724212E-004   0.5888944E-005   0.5706065E-005    0.000000         0.000000         0.000000         0.000000     
    5.100000        0.1854760E-002  -0.2551970E-002   0.2492518E-005  -0.3729655E-004  -0.1832014E-005  -0.1756980E-004   0.5898407E-005   0.5708066E-005    0.000000         0.000000         0.000000         0.000000     
    5.200000        0.1855006E-002  -0.2555721E-002   0.2431621E-005  -0.3771975E-004  -0.1887858E-005  -0.1790438E-004   0.5907979E-005   0.5710067E-005    0.000000         0.000000         0.000000         0.000000     
    5.300000        0.1855246E-002  -0.2559514E-002   0.2368948E-005  -0.3815083E-004  -0.1945419E-005  -0.1824605E-004   0.5917664E-005   0.5712068E-005    0.000000         0.000000         0.000000         0.000000     
    5.400000        0.1855480E-002  -0.2563351E-002   0.2304442E-005  -0.3858999E-004  -0.2004753E-005  -0.1859498E-004   0.5927464E-005   0.5714068E-005    0.000000         0.000000         0.000000         0.000000     
    5.500000        0.1855707E-002  -0.2567233E-002   0.2238047E-005  -0.3903743E-004  -0.2065916E-005  -0.1895139E-004   0.5937380E-005   0.5716068E-005    0.000000         0.000000         0.000000         0.000000     
    5.600000        0.1855927E-002  -0.2571159E-002   0.2169703E-005  -0.3949335E-004  -0.2128969E-005  -0.1931547E-004   0.5947415E-005   0.5718066E-005    0.000000         0.000000         0.000000         0.000000     
    5.700000        0.1856141E-002  -0.2575132E-002   0.2099349E-005  -0.3995798E-004  -0.2193973E-005  -0.1968743E-004   0.5957571E-005   0.5720064E-005    0.000000         0.000000         0.000000         0.000000     
    5.800000        0.1856347E-002  -0.2579151E-002   0.2026921E-005  -0.4043154E-004  -0.2260993E-005  -0.2006749E-004   0.5967850E-005   0.5722060E-005    0.000000         0.000000         0.000000         0.000000     
    5.900000        0.1856546E-002  -0.2583218E-002   0.1952354E-005  -0.4091426E-004  -0.2330093E-005  -0.2045588E-004   0.5978256E-005   0.5724055E-005    0.000000         0.000000         0.000000         0.000000     
    6.000000        0.1856738E-002  -0.2587334E-002   0.1875578E-005  -0.4140638E-004  -0.2401343E-005  -0.2085285E-004   0.5988789E-005   0.5726048E-005    0.000000         0.000000         0.000000         0.000000     
    6.100000        0.1856921E-002  -0.2591500E-002   0.1796523E-005  -0.4190816E-004  -0.2474815E-005  -0.2125862E-004   0.5999454E-005   0.5728039E-005    0.000000         0.000000         0.000000         0.000000     
    6.200000        0.1857097E-002  -0.2595716E-002   0.1715116E-005  -0.4241984E-004  -0.2550581E-005  -0.2167347E-004   0.6010251E-005   0.5730027E-005    0.000000         0.000000         0.000000         0.000000     
    6.300000        0.1857264E-002  -0.2599984E-002   0.1631282E-005  -0.4294171E-004  -0.2628719E-005  -0.2209765E-004   0.6021185E-005   0.5732014E-005    0.000000         0.000000         0.000000         0.000000     
    6.400000        0.1857423E-002  -0.2604305E-002   0.1544940E-005  -0.4347404E-004  -0.2709307E-005  -0.2253144E-004   0.6032258E-005   0.5733997E-005    0.000000         0.000000         0.000000         0.000000     
    6.500000        0.1857573E-002  -0.2608679E-002   0.1456009E-005  -0.4401712E-004  -0.2792429E-005  -0.2297513E-004   0.6043473E-005   0.5735978E-005    0.000000         0.000000         0.000000         0.000000     
    6.600000        0.1857714E-002  -0.2613109E-002   0.1364405E-005  -0.4457126E-004  -0.2878169E-005  -0.2342902E-004   0.6054832E-005   0.5737955E-005    0.000000         0.000000         0.000000         0.000000     
    6.700000        0.1857846E-002  -0.2617594E-002   0.1270040E-005  -0.4513677E-004  -0.2966616E-005  -0.2389341E-004   0.6066339E-005   0.5739929E-005    0.000000         0.000000         0.000000         0.000000     
    6.800000        0.1857968E-002  -0.2622136E-002   0.1172822E-005  -0.4571397E-004  -0.3057862E-005  -0.2436864E-004   0.6077997E-005   0.5741899E-005    0.000000         0.000000         0.000000         0.000000     
    6.900000        0.1858080E-002  -0.2626737E-002   0.1072657E-005  -0.4630320E-004  -0.3152003E-005  -0.2485503E-004   0.6089808E-005   0.5743865E-005    0.000000         0.000000         0.000000         0.000000     
    7.000000        0.1858182E-002  -0.2631397E-002   0.9694475E-006  -0.4690482E-004  -0.3249137E-005  -0.2535294E-004   0.6101776E-005   0.5745826E-005    0.000000         0.000000         0.000000         0.000000     
    7.100000        0.1858274E-002  -0.2636118E-002   0.8630906E-006  -0.4751919E-004  -0.3349367E-005  -0.2586273E-004   0.6113905E-005   0.5747783E-005    0.000000         0.000000         0.000000         0.000000     
    7.200000        0.1858355E-002  -0.2640902E-002   0.7534810E-006  -0.4814669E-004  -0.3452801E-005  -0.2638479E-004   0.6126198E-005   0.5749734E-005    0.000000         0.000000         0.000000         0.000000     
    7.300000        0.1858425E-002  -0.2645748E-002   0.6405089E-006  -0.4878773E-004  -0.3559549E-005  -0.2691950E-004   0.6138658E-005   0.5751680E-005    0.000000         0.000000         0.000000         0.000000     
    7.400000        0.1858483E-002  -0.2650660E-002   0.5240603E-006  -0.4944271E-004  -0.3669727E-005  -0.2746729E-004   0.6151289E-005   0.5753619E-005    0.000000         0.000000         0.000000         0.000000     
    7.500000        0.1858529E-002  -0.2655637E-002   0.4040168E-006  -0.5011207E-004  -0.3783454E-005  -0.2802858E-004   0.6164096E-005   0.5755553E-005    0.000000         0.000000         0.000000         0.000000     
    7.600000        0.1858564E-002  -0.2660683E-002   0.2802555E-006  -0.5079625E-004  -0.3900855E-005  -0.2860381E-004   0.6177081E-005   0.5757479E-005    0.000000         0.000000         0.000000         0.000000     
    7.700000        0.1858585E-002  -0.2665797E-002   0.1526487E-006  -0.5149572E-004  -0.4022058E-005  -0.2919346E-004   0.6190248E-005   0.5759399E-005    0.000000         0.000000         0.000000         0.000000     
    7.800000        0.1858594E-002  -0.2670982E-002   0.2106371E-007  -0.5221097E-004  -0.4147199E-005  -0.2979802E-004   0.6203603E-005   0.5761311E-005    0.000000         0.000000         0.000000         0.000000     
    7.900000        0.1858589E-002  -0.2676240E-002  -0.1146373E-006  -0.5294251E-004  -0.4276416E-005  -0.3041799E-004   0.6217149E-005   0.5763215E-005    0.000000         0.000000         0.000000         0.000000     
    8.000000        0.1858571E-002  -0.2681571E-002  -0.2545976E-006  -0.5369085E-004  -0.4409856E-005  -0.3105389E-004   0.6230890E-005   0.5765110E-005    0.000000         0.000000         0.000000         0.000000     
    8.100000        0.1858538E-002  -0.2686979E-002  -0.3989660E-006  -0.5445656E-004  -0.4547668E-005  -0.3170629E-004   0.6244832E-005   0.5766996E-005    0.000000         0.000000         0.000000         0.000000     
    8.200000        0.1858491E-002  -0.2692463E-002  -0.5478973E-006  -0.5524020E-004  -0.4690010E-005  -0.3237576E-004   0.6258979E-005   0.5768873E-005    0.000000         0.000000         0.000000         0.000000     
    8.300000        0.1858429E-002  -0.2698027E-002  -0.7015523E-006  -0.5604238E-004  -0.4837045E-005  -0.3306290E-004   0.6273335E-005   0.5770740E-005    0.000000         0.000000         0.000000         0.000000     
    8.400000        0.1858351E-002  -0.2703672E-002  -0.8600982E-006  -0.5686371E-004  -0.4988941E-005  -0.3376834E-004   0.6287906E-005   0.5772596E-005    0.000000         0.000000         0.000000         0.000000     
    8.500000        0.1858256E-002  -0.2709401E-002  -0.1023709E-005  -0.5770485E-004  -0.5145877E-005  -0.3449272E-004   0.6302698E-005   0.5774440E-005    0.000000         0.000000         0.000000         0.000000     
    8.600000        0.1858146E-002  -0.2715214E-002  -0.1192565E-005  -0.5856647E-004  -0.5308034E-005  -0.3523674E-004   0.6317714E-005   0.5776273E-005    0.000000         0.000000         0.000000         0.000000     
    8.700000        0.1858018E-002  -0.2721115E-002  -0.1366854E-005  -0.5944928E-004  -0.5475604E-005  -0.3600111E-004   0.6332962E-005   0.5778094E-005    0.000000         0.000000         0.000000         0.000000     
    8.800000        0.1857872E-002  -0.2727105E-002  -0.1546772E-005  -0.6035402E-004  -0.5648785E-005  -0.3678656E-004   0.6348446E-005   0.5779902E-005    0.000000         0.000000         0.000000         0.000000     
    8.900000        0.1857708E-002  -0.2733186E-002  -0.1732522E-005  -0.6128146E-004  -0.5827783E-005  -0.3759388E-004   0.6364173E-005   0.5781695E-005    0.000000         0.000000         0.000000         0.000000     
    9.000000        0.1857525E-002  -0.2739362E-002  -0.1924315E-005  -0.6223240E-004  -0.6012813E-005  -0.3842388E-004   0.6380148E-005   0.5783475E-005    0.000000         0.000000         0.000000         0.000000     
    9.100000        0.1857323E-002  -0.2745633E-002  -0.2122371E-005  -0.6320767E-004  -0.6204098E-005  -0.3927739E-004   0.6396379E-005   0.5785239E-005    0.000000         0.000000         0.000000         0.000000     
    9.200000        0.1857101E-002  -0.2752004E-002  -0.2326918E-005  -0.6420815E-004  -0.6401869E-005  -0.4015531E-004   0.6412872E-005   0.5786987E-005    0.000000         0.000000         0.000000         0.000000     
    9.300000        0.1856857E-002  -0.2758476E-002  -0.2538195E-005  -0.6523475E-004  -0.6606369E-005  -0.4105854E-004   0.6429633E-005   0.5788719E-005    0.000000         0.000000         0.000000         0.000000     
    9.400000        0.1856593E-002  -0.2765052E-002  -0.2756447E-005  -0.6628841E-004  -0.6817849E-005  -0.4198805E-004   0.6446670E-005   0.5790434E-005    0.000000         0.000000         0.000000         0.000000     
    9.500000        0.1856306E-002  -0.2771735E-002  -0.2981932E-005  -0.6737013E-004  -0.7036569E-005  -0.4294485E-004   0.6463990E-005   0.5792130E-005    0.000000         0.000000         0.000000         0.000000     
    9.600000        0.1855996E-002  -0.2778527E-002  -0.3214917E-005  -0.6848093E-004  -0.7262800E-005  -0.4392998E-004   0.6481601E-005   0.5793807E-005    0.000000         0.000000         0.000000         0.000000     
    9.700000        0.1855663E-002  -0.2785432E-002  -0.3455680E-005  -0.6962191E-004  -0.7496826E-005  -0.4494452E-004   0.6499511E-005   0.5795464E-005    0.000000         0.000000         0.000000         0.000000     
    9.800000        0.1855305E-002  -0.2792452E-002  -0.3704509E-005  -0.7079417E-004  -0.7738940E-005  -0.4598962E-004   0.6517727E-005   0.5797100E-005    0.000000         0.000000         0.000000         0.000000     
    9.900000        0.1854922E-002  -0.2799592E-002  -0.3961706E-005  -0.7199889E-004  -0.7989447E-005  -0.4706647E-004   0.6536259E-005   0.5798714E-005    0.000000         0.000000         0.000000         0.000000     
    10.00000        0.1854512E-002  -0.2806853E-002  -0.4227581E-005  -0.7323729E-004  -0.8248665E-005  -0.4817629E-004   0.6555115E-005   0.5800306E-005    0.000000         0.000000         0.000000         0.000000     
    10.10000        0.1854076E-002  -0.2814240E-002  -0.4502459E-005  -0.7451065E-004  -0.8516922E-005  -0.4932039E-004   0.6574304E-005   0.5801873E-005    0.000000         0.000000         0.000000         0.000000     
    10.20000        0.1853611E-002  -0.2821757E-002  -0.4786677E-005  -0.7582030E-004  -0.8794563E-005  -0.5050012E-004   0.6593836E-005   0.5803416E-005    0.000000         0.000000         0.000000         0.000000     
    10.30000        0.1853118E-002  -0.2829406E-002  -0.5080586E-005  -0.7716761E-004  -0.9081943E-005  -0.5171686E-004   0.6613721E-005   0.5804932E-005    0.000000         0.000000         0.000000         0.000000     
    10.40000        0.1852595E-002  -0.2837191E-002  -0.5384550E-005  -0.7855403E-004  -0.9379432E-005  -0.5297210E-004   0.6633969E-005   0.5806421E-005    0.000000         0.000000         0.000000         0.000000     
    10.50000        0.1852041E-002  -0.2845118E-002  -0.5698945E-005  -0.7998107E-004  -0.9687414E-005  -0.5426736E-004   0.6654591E-005   0.5807882E-005    0.000000         0.000000         0.000000         0.000000     
    10.60000        0.1851455E-002  -0.2853189E-002  -0.6024165E-005  -0.8145029E-004  -0.1000629E-004  -0.5560423E-004   0.6675597E-005   0.5809314E-005    0.000000         0.000000         0.000000         0.000000     
    10.70000        0.1850836E-002  -0.2861409E-002  -0.6360618E-005  -0.8296333E-004  -0.1033647E-004  -0.5698437E-004   0.6697000E-005   0.5810714E-005    0.000000         0.000000         0.000000         0.000000     
    10.80000        0.1850182E-002  -0.2869783E-002  -0.6708725E-005  -0.8452188E-004  -0.1067839E-004  -0.5840951E-004   0.6718810E-005   0.5812082E-005    0.000000         0.000000         0.000000         0.000000     
    10.90000        0.1849493E-002  -0.2878315E-002  -0.7068927E-005  -0.8612773E-004  -0.1103250E-004  -0.5988144E-004   0.6741041E-005   0.5813417E-005    0.000000         0.000000         0.000000         0.000000     
    11.00000        0.1848768E-002  -0.2887010E-002  -0.7441678E-005  -0.8778270E-004  -0.1139925E-004  -0.6140205E-004   0.6763705E-005   0.5814717E-005    0.000000         0.000000         0.000000         0.000000     
    11.10000        0.1848005E-002  -0.2895873E-002  -0.7827451E-005  -0.8948873E-004  -0.1177913E-004  -0.6297328E-004   0.6786816E-005   0.5815980E-005    0.000000         0.000000         0.000000         0.000000     
    11.20000        0.1847202E-002  -0.2904910E-002  -0.8226735E-005  -0.9124781E-004  -0.1217263E-004  -0.6459718E-004   0.6810388E-005   0.5817205E-005    0.000000         0.000000         0.000000         0.000000     
    11.30000        0.1846359E-002  -0.2914125E-002  -0.8640038E-005  -0.9306203E-004  -0.1258028E-004  -0.6627584E-004   0.6834434E-005   0.5818391E-005    0.000000         0.000000         0.000000         0.000000     
    11.40000        0.1845474E-002  -0.2923524E-002  -0.9067885E-005  -0.9493354E-004  -0.1300260E-004  -0.6801148E-004   0.6858971E-005   0.5819535E-005    0.000000         0.000000         0.000000         0.000000     
    11.50000        0.1844545E-002  -0.2933114E-002  -0.9510821E-005  -0.9686461E-004  -0.1344015E-004  -0.6980639E-004   0.6884013E-005   0.5820637E-005    0.000000         0.000000         0.000000         0.000000     
    11.60000        0.1843571E-002  -0.2942899E-002  -0.9969409E-005  -0.9885756E-004  -0.1389351E-004  -0.7166294E-004   0.6909577E-005   0.5821693E-005    0.000000         0.000000         0.000000         0.000000     
    11.70000        0.1842550E-002  -0.2952887E-002  -0.1044423E-004  -0.1009148E-003  -0.1436326E-004  -0.7358361E-004   0.6935680E-005   0.5822704E-005    0.000000         0.000000         0.000000         0.000000     
    11.80000        0.1841481E-002  -0.2963084E-002  -0.1093589E-004  -0.1030389E-003  -0.1485002E-004  -0.7557097E-004   0.6962339E-005   0.5823666E-005    0.000000         0.000000         0.000000         0.000000     
    11.90000        0.1840363E-002  -0.2973497E-002  -0.1144502E-004  -0.1052325E-003  -0.1535442E-004  -0.7762769E-004   0.6989572E-005   0.5824578E-005    0.000000         0.000000         0.000000         0.000000     
    12.00000        0.1839192E-002  -0.2984133E-002  -0.1197224E-004  -0.1074983E-003  -0.1587711E-004  -0.7975655E-004   0.7017398E-005   0.5825438E-005    0.000000         0.000000         0.000000         0.000000     
    12.10000        0.1837968E-002  -0.2994999E-002  -0.1251824E-004  -0.1098391E-003  -0.1641878E-004  -0.8196042E-004   0.7045837E-005   0.5826243E-005    0.000000         0.000000         0.000000         0.000000     
    12.20000        0.1836688E-002  -0.3006104E-002  -0.1308370E-004  -0.1122579E-003  -0.1698012E-004  -0.8424229E-004   0.7074910E-005   0.5826992E-005    0.000000         0.000000         0.000000         0.000000     
    12.30000        0.1835350E-002  -0.3017454E-002  -0.1366931E-004  -0.1147577E-003  -0.1756184E-004  -0.8660526E-004   0.7104637E-005   0.5827683E-005    0.000000         0.000000         0.000000         0.000000     
    12.40000        0.1833953E-002  -0.3029058E-002  -0.1427582E-004  -0.1173416E-003  -0.1816469E-004  -0.8905255E-004   0.7135040E-005   0.5828312E-005    0.000000         0.000000         0.000000         0.000000     
    12.50000        0.1832494E-002  -0.3040925E-002  -0.1490397E-004  -0.1200129E-003  -0.1878943E-004  -0.9158747E-004   0.7166143E-005   0.5828878E-005    0.000000         0.000000         0.000000         0.000000     
    12.60000        0.1830971E-002  -0.3053064E-002  -0.1555453E-004  -0.1227751E-003  -0.1943684E-004  -0.9421347E-004   0.7197969E-005   0.5829379E-005    0.000000         0.000000         0.000000         0.000000     
    12.70000        0.1829383E-002  -0.3065483E-002  -0.1622831E-004  -0.1256316E-003  -0.2010773E-004  -0.9693413E-004   0.7230543E-005   0.5829811E-005    0.000000         0.000000         0.000000         0.000000     
    12.80000        0.1827725E-002  -0.3078193E-002  -0.1692610E-004  -0.1285860E-003  -0.2080293E-004  -0.9975313E-004   0.7263890E-005   0.5830172E-005    0.000000         0.000000         0.000000         0.000000     
    12.90000        0.1825996E-002  -0.3091204E-002  -0.1764876E-004  -0.1316422E-003  -0.2152328E-004  -0.1026743E-003   0.7298037E-005   0.5830460E-005    0.000000         0.000000         0.000000         0.000000     
    13.00000        0.1824194E-002  -0.3104525E-002  -0.1839714E-004  -0.1348039E-003  -0.2226965E-004  -0.1057016E-003   0.7333011E-005   0.5830672E-005    0.000000         0.000000         0.000000         0.000000     
    13.10000        0.1822316E-002  -0.3118168E-002  -0.1917211E-004  -0.1380752E-003  -0.2304294E-004  -0.1088390E-003   0.7368842E-005   0.5830805E-005    0.000000         0.000000         0.000000         0.000000     
