### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
### Sampling for ensemble average ##################
#   ista = 2000                                    #
#   nperiod = 500                                  #
#   nshift = 1                                     #
#   nsample= (nrec-ista-nperiod)/nshift+1 = 7502   #
####################################################
#       [1]t       [2]Re[<r(t)r*>]  [3]Im[<r(t)r*>] [4]Re[<r(t)u*>/sqrt(<rr*><uu*>)] [5]Im[<r(t)u*>/sqrt(<rr*><uu*>)] [6]Re[<f(t)u*>/sqrt(<ff*><uu*>)] [7]Im[<f(t)u*>/sqrt(<ff*><uu*>)]
    4.100000        0.8944622E-005   0.1430604E-006   0.2834610E-002  -0.5011134E-003  -0.2480459        0.3267517E-001
    4.200000        0.8832403E-005   0.1334916E-006   0.2917733E-002  -0.4879671E-003  -0.2522736        0.3257445E-001
    4.300000        0.8722002E-005   0.1231056E-006   0.3002215E-002  -0.4726571E-003  -0.2564279        0.3247898E-001
    4.400000        0.8613299E-005   0.1119756E-006   0.3087777E-002  -0.4549804E-003  -0.2605101        0.3238945E-001
    4.500000        0.8506180E-005   0.1001811E-006   0.3174104E-002  -0.4347237E-003  -0.2645211        0.3230649E-001
    4.600000        0.8400534E-005   0.8780636E-007   0.3260861E-002  -0.4116780E-003  -0.2684623        0.3223071E-001
    4.700000        0.8296255E-005   0.7493875E-007   0.3347708E-002  -0.3856533E-003  -0.2723346        0.3216265E-001
    4.800000        0.8193245E-005   0.6166760E-007   0.3434315E-002  -0.3564910E-003  -0.2761392        0.3210277E-001
    4.900000        0.8091411E-005   0.4808260E-007   0.3520376E-002  -0.3240744E-003  -0.2798770        0.3205144E-001
    5.000000        0.7990666E-005   0.3427240E-007   0.3605618E-002  -0.2883351E-003  -0.2835490        0.3200892E-001
    5.100000        0.7890933E-005   0.2032338E-007   0.3689809E-002  -0.2492577E-003  -0.2871559        0.3197539E-001
    5.200000        0.7792138E-005   0.6318446E-008   0.3772764E-002  -0.2068798E-003  -0.2906986        0.3195092E-001
    5.300000        0.7694219E-005  -0.7664050E-008   0.3854349E-002  -0.1612911E-003  -0.2941776        0.3193549E-001
    5.400000        0.7597117E-005  -0.2155124E-007   0.3934476E-002  -0.1126300E-003  -0.2975936        0.3192897E-001
    5.500000        0.7500779E-005  -0.3527659E-007   0.4013107E-002  -0.6107926E-004  -0.3009471        0.3193117E-001
    5.600000        0.7405161E-005  -0.4878066E-007   0.4090247E-002  -0.6861614E-005  -0.3042386        0.3194181E-001
    5.700000        0.7310223E-005  -0.6201172E-007   0.4165945E-002   0.4976537E-004  -0.3074684        0.3196054E-001
    5.800000        0.7215929E-005  -0.7492627E-007   0.4240284E-002   0.1085135E-003  -0.3106369        0.3198697E-001
    5.900000        0.7122249E-005  -0.8748948E-007   0.4313377E-002   0.1690680E-003  -0.3137445        0.3202064E-001
    6.000000        0.7029156E-005  -0.9967548E-007   0.4385368E-002   0.2310909E-003  -0.3167913        0.3206106E-001
    6.100000        0.6936629E-005  -0.1114675E-006   0.4456419E-002   0.2942243E-003  -0.3197776        0.3210770E-001
    6.200000        0.6844646E-005  -0.1228581E-006   0.4526711E-002   0.3580927E-003  -0.3227036        0.3215999E-001
    6.300000        0.6753191E-005  -0.1338489E-006   0.4596436E-002   0.4223061E-003  -0.3255696        0.3221737E-001
    6.400000        0.6662248E-005  -0.1444503E-006   0.4665796E-002   0.4864620E-003  -0.3283756        0.3227926E-001
    6.500000        0.6571804E-005  -0.1546815E-006   0.4734996E-002   0.5501486E-003  -0.3311218        0.3234505E-001
    6.600000        0.6481846E-005  -0.1645695E-006   0.4804242E-002   0.6129477E-003  -0.3338084        0.3241416E-001
